Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.000532316059778029,0.02307197563664692,0.013116272981468351,0.27648372614156624,0.10677696257854297
GARCH-MIDAS Only (Benchmark),0.0004640937861387654,0.02154283607463895,0.012257781991688284,0.26743373530390174,0.221253513418041
GARCH-MIDAS Only (Delta_H),0.000461708473560816,0.02148740267135179,0.012225796424336043,0.2674740725642401,0.22525605308773278
GARCH-MIDAS Only (Delta_Alpha),0.0004637952094902287,0.021535905123542608,0.012268242136597723,0.26817748827121424,0.22175452317720612
Direct_No_MFDFA_Ridge,0.00043013924814091115,0.02073979865237151,0.012046893268256642,0.2765266842607057,0.2782290169888568
Direct_No_MFDFA_LSTM,0.00043707233522481323,0.02090627502030941,0.011585410391348566,0.2452558398724616,0.2665953399843102
Direct_No_MFDFA_BI-LSTM,0.000443235561931308,0.021053160378701058,0.011647995677177742,0.2443997595505708,0.2562534839046948
Direct_No_MFDFA_GRU,0.00044493151337838134,0.021093399758653923,0.011590920648120845,0.24335562052021856,0.25340768792494206
Direct_No_MFDFA_BI-GRU,0.00043505670263736503,0.020858012912004946,0.011332661975519274,0.24172501789159387,0.2699775589292672
Direct_With_MFDFA_Ridge,0.0004293259128793449,0.020720181294557848,0.011920474838313039,0.2679968485616968,0.2795937884990026
Direct_With_MFDFA_LSTM,0.0004775018221341883,0.021851815076423017,0.012142889787949527,0.2603168761819498,0.1987549124126874
Direct_With_MFDFA_BI-LSTM,0.00046632609255857304,0.021594584797086817,0.01223297278610553,0.26674470309988546,0.21750771713004724
Direct_With_MFDFA_GRU,0.00044883880358247553,0.021185816094323,0.011751319298484095,0.2517153613121316,0.24685127926493755
Direct_With_MFDFA_BI-GRU,0.00046618878105011833,0.021591405258808847,0.01239862969712253,0.27132726019647463,0.2177381249871876
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004103727813413348,0.020257659818975506,0.010918491942794397,0.22873374689604636,0.31139702533557156
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004187394860878901,0.020463125032308484,0.010990414426746253,0.22255677550545908,0.29735774680987204
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.00043838673378683986,0.02093768692541848,0.011262362325105645,0.22628876407917753,0.26438978737249275
Hybrid_Benchmark_No_MFDFA_GRU,0.0004091551275090603,0.020227583333385635,0.010806192252751647,0.21870067165384674,0.31344024089259537
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004198176480844889,0.02048945211772362,0.010867975091264066,0.21999977309450347,0.2955485976855041
Hybrid_Benchmark_With_MFDFA_Ridge,0.00041581705931917817,0.02039159285880282,0.010968410775418009,0.22625007069197497,0.3022615607509339
Hybrid_Benchmark_With_MFDFA_LSTM,0.00043131907607006956,0.020768222747025552,0.011025382166383076,0.22268534052895997,0.2762492730619931
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0004341842869998194,0.020837089216102604,0.011396200295212093,0.23181645341574725,0.27144146694284
Hybrid_Benchmark_With_MFDFA_GRU,0.00041318260714519475,0.020326893691491446,0.011133523116717592,0.22990721044318557,0.30668215511317853
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.00042778024745157377,0.020682849113494346,0.010965853206825138,0.22231614722475923,0.2821874054731116
Hybrid_Delta_H_No_MFDFA_Ridge,0.00040985055116443393,0.020244766019009305,0.010911918001221732,0.2289842042801587,0.31227332432425703
Hybrid_Delta_H_No_MFDFA_LSTM,0.00042679047467427485,0.020658907877094443,0.010984875600769106,0.2216359676757335,0.28384823803725523
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0004318653676481505,0.020781370687424604,0.011179120905519212,0.2226371586602211,0.275332599191784
Hybrid_Delta_H_No_MFDFA_GRU,0.0004064143367161391,0.020159720650746605,0.010698414303379289,0.2166057171730587,0.31803927079601535
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.00041518029868905354,0.02037597356420187,0.010832113276306772,0.21757940787426427,0.3033300411277752
Hybrid_Delta_H_With_MFDFA_Ridge,0.00041448740003146813,0.020358963628619903,0.010944806825516122,0.22574755163873328,0.3044927207655299
Hybrid_Delta_H_With_MFDFA_LSTM,0.0004266388499897586,0.020655237834257892,0.010880025529527104,0.2197453746943036,0.28410266331480216
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.0004634573175375005,0.021528058842763795,0.011800866346490932,0.24101907659335034,0.2223215037722721
Hybrid_Delta_H_With_MFDFA_GRU,0.0004182288327997294,0.020450643823599526,0.01109334499640671,0.22570428270771004,0.2982146198512572
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.00042649375245119425,0.020651725168885873,0.010990933353347871,0.22295988742799538,0.28434613608203907
Hybrid_Delta_Alpha_No_MFDFA_Ridge,0.00041022884646113404,0.020254106903567336,0.010925611071543476,0.2292898797775054,0.31163854716930584
Hybrid_Delta_Alpha_No_MFDFA_LSTM,0.00042187035276929633,0.020539482777550567,0.011160002628711224,0.22803287872028166,0.2921041719917584
Hybrid_Delta_Alpha_No_MFDFA_BI-LSTM,0.0004284637674304783,0.020699366353356768,0.010996762999798326,0.22129849171560526,0.2810404631998502
Hybrid_Delta_Alpha_No_MFDFA_GRU,0.0004098884695500972,0.02024570249584087,0.01078164535614584,0.21790539813488452,0.3122096975089579
Hybrid_Delta_Alpha_No_MFDFA_BI-GRU,0.00041669654268144057,0.02041314631999292,0.010834776944065054,0.21896816492499308,0.30078579313924625
Hybrid_Delta_Alpha_With_MFDFA_Ridge,0.00041475683305578637,0.020365579615021674,0.010951367458885584,0.22596693456036532,0.3040406138265366
Hybrid_Delta_Alpha_With_MFDFA_LSTM,0.00042772312219412247,0.020681468086045596,0.011398044588659898,0.23686103905400754,0.28228326129980863
Hybrid_Delta_Alpha_With_MFDFA_BI-LSTM,0.00043055664929848115,0.020749859018761578,0.011102154792646791,0.22558451277939606,0.2775286204425955
Hybrid_Delta_Alpha_With_MFDFA_GRU,0.0004239043253633881,0.020588936965355645,0.01133938382348214,0.23278295076976457,0.28869117862972415
Hybrid_Delta_Alpha_With_MFDFA_BI-GRU,0.0004308250972059026,0.020756326679012897,0.011708988092554856,0.24417270045485936,0.27707816652362793
